category_id,category_name,product_count,Percentage
2225,Valentine's Day,"1,977",0.0001011
642,Travel,"1,959",0.0001001
675,Fairy tales,"1,946",0.0000995
577,Boho,"1,936",0.0000990
789,Fairy Tales,"1,931",0.0000987
63,Steampunk,"1,850",0.0000946
2352,Cake Toppers,"1,850",0.0000946
2285,Tools,"1,768",0.0000904
1859,Holidays,"1,735",0.0000887
587,Animals,"1,694",0.0000866
54,Mandalas,"1,689",0.0000863
660,Dinosaurs,"1,685",0.0000861
880,School & Education,"1,659",0.0000848
770,Food & Dining,"1,606",0.0000821
646,Planner,"1,584",0.0000810
33,Religious,"1,569",0.0000802
2125,Boxes & Cartons,"1,559",0.0000797
2347,Mother's Day,"1,537",0.0000786
883,Inspirational,"1,534",0.0000784
2139,Stationery Mockups,"1,509",0.0000771
928,Sewing Patterns,"1,505",0.0000769
674,Baby,"1,493",0.0000763
2228,Art & Creative Mockups,"1,491",0.0000762
2034,Instagram,"1,483",0.0000758
890,Borders,"1,463",0.0000748
48,Coffee,"1,458",0.0000745
659,Hobbies,"1,433",0.0000732
621,Site Templates,"1,431",0.0000731
563,Rhinestones,"1,404",0.0000718
620,Email Templates,"1,393",0.0000712
1872,Paper flowers,"1,385",0.0000708
2098,Photo Collage & Scrapbook Templates,"1,369",0.0000700
2147,Electronic Devices Mockups,"1,328",0.0000679
815,Independence Day,"1,302",0.0000666
2226,Easter,"1,283",0.0000656
785,Boys & Girls,"1,262",0.0000645
665,Home,"1,261",0.0000645
1153,Dot to dot,"1,256",0.0000642
2342,Cards,"1,252",0.0000640
2173,Signage & Outdoor Mockups,"1,243",0.0000635
589,Arts & Entertainment,"1,243",0.0000635
879,Religion & Faith,"1,240",0.0000634
2152,Laptops,"1,231",0.0000629
913,2nd grade,"1,182",0.0000604
2355,Shadow Boxes,"1,174",0.0000600
2159,Flyers & Leaflets,"1,170",0.0000598
44,Mother's Day,"1,166",0.0000596
600,Technology,"1,164",0.0000595
2345,Birthday,"1,139",0.0000582
34,Love,"1,129",0.0000577
864,Sewing & Crafts,"1,128",0.0000577
1920,Gift boxes,"1,118",0.0000571
763,Woodland Animals,"1,115",0.0000570
590,Beauty & Fashion,"1,110",0.0000567
758,Fish & Shells,"1,107",0.0000566
663,Medical,"1,083",0.0000554
2166,Home & Living Mockups,"1,079",0.0000552
1855,AI Sketches,"1,074",0.0000549
2232,3D Objects,"1,070",0.0000547
2042,Flyers & Posters,"1,068",0.0000546
2181,Coffee Cups,"1,065",0.0000544
2049,Invitations,"1,062",0.0000543
2346,Father's Day,"1,059",0.0000541
2128,Bags & Pouches,"1,048",0.0000536
547,Bathroom,"1,046",0.0000535
2127,Cans & Containers,"1,022",0.0000522
884,Awareness,"1,022",0.0000522
892,Accessories,"1,021",0.0000522
704,Yoga & Meditation,"1,020",0.0000521
813,Father's Day,"1,019",0.0000521
656,Bedroom,"1,011",0.0000517
817,St Patrick's Day,"1,010",0.0000516
647,Remembrance,"1,009",0.0000516
757,Farm Animals,997,0.0000510
2132,Accessories Mockups,972,0.0000497
2174,Billboards,971,0.0000496
1862,Halloween,966,0.0000494
31,Paisley,962,0.0000492
2222,Holiday & Seasonal Mockups,954,0.0000488
657,Camping,947,0.0000484
2143,Notebooks & Notepads,939,0.0000480
849,Beauty,937,0.0000479
1155,Coloring Pages Adult,932,0.0000476
706,Picado,925,0.0000473
867,Autumn,916,0.0000468
30,Monogram Frames,916,0.0000468
850,Boho,916,0.0000468
648,Music,913,0.0000467
870,Summer,893,0.0000456
64,Farm & Country,887,0.0000453
703,Cancer Awareness,883,0.0000451
75,Subway Art,872,0.0000446
2160,Posters & Billboards,869,0.0000444
2208,Social Media Posts,841,0.0000430
2353,Organizers,836,0.0000427
673,Video Games,829,0.0000424
881,Work & Occupation,815,0.0000417
733,Germany,807,0.0000413
652,Children,807,0.0000413
2227,Seasonal Events,804,0.0000411
62,Wine,802,0.0000410
790,Nursery,801,0.0000409
1883,Seasons,792,0.0000405
799,Shapes,784,0.0000401
868,Beach & Nautical,779,0.0000398
732,Mexico,774,0.0000396
2349,Wedding,764,0.0000391
2350,Other Celebrations,753,0.0000385
749,Animals,744,0.0000380
830,Floral & Garden,734,0.0000375
872,Transportation,727,0.0000372
1899,Birthdays,726,0.0000371
818,Thanksgiving,698,0.0000357
2161,Brochures & Catalogs,694,0.0000355
2058,Etsy Shop Graphics,691,0.0000353
2179,A-Frames & Sandwich Boards,686,0.0000351
842,Mother,684,0.0000350
2193,Environmental Mockups,682,0.0000349
773,Tea & Coffee,679,0.0000347
833,Floral Wreaths,669,0.0000342
914,3rd grade,656,0.0000335
836,Outline Flowers,656,0.0000335
807,Birthdays,647,0.0000331
2114,Caps & Hats,639,0.0000327
2116,Leggings & Pants,636,0.0000325
772,Kitchen & Cooking,632,0.0000323
705,Australia,629,0.0000322
591,Business,623,0.0000318
2151,Tablets - Other,620,0.0000317
1895,Ornaments,614,0.0000314
875,Winter,614,0.0000314
1887,Spring,613,0.0000313
261,Cups & Mugs,609,0.0000311
756,Dinosaurs,606,0.0000310
585,Photos,605,0.0000309
699,Winter,604,0.0000309
2043,Business Cards,602,0.0000308
2109,Packaging Mockups,590,0.0000302
857,Camping & Fishing,589,0.0000301
1144,Beading Patterns,588,0.0000301
2172,Kitchenware,588,0.0000301
2130,Food Packaging,587,0.0000300
759,Horses,586,0.0000300
1866,Valentine's Day,583,0.0000298
2076,Christmas Templates,578,0.0000295
761,Reptiles,570,0.0000291
2182,Wine & Beer Bottles,565,0.0000289
2074,Other educational templates,562,0.0000287
835,Forest & Trees,551,0.0000282
862,Music,546,0.0000279
2361,Other Jewelry,543,0.0000278
777,Asia,542,0.0000277
1644,The Arts,538,0.0000275
2178,Bus Stops & Kiosks,537,0.0000274
2336,Art & Design,536,0.0000274
887,Monograms,535,0.0000273
1861,Easter,531,0.0000271
2095,Fitness & Health Templates,529,0.0000270
2199,Branding & Identity Mockups,529,0.0000270
545,Father's Day,523,0.0000267
667,Friendship,520,0.0000266
711,Tattoos,512,0.0000262
2338,Home Decor,506,0.0000259
792,Robots & Space,503,0.0000257
793,Toys & Games,499,0.0000255
2131,Cosmetic Packaging,496,0.0000254
1885,Summer,493,0.0000252
1701,Halloween,491,0.0000251
781,Babies & Kids,489,0.0000250
2046,Logo Templates,486,0.0000248
53,Mardi Gras,486,0.0000248
2175,Street Signs,482,0.0000246
2033,Social Media Templates,477,0.0000244
668,New Year's,474,0.0000242
68,Laundry Room,468,0.0000239
2153,Desktops,466,0.0000238
861,Games & Leisure,464,0.0000237
676,Happy Hour,461,0.0000236
2171,Bedding & Blankets,459,0.0000235
2194,Office Scenes,458,0.0000234
750,Animal Quotes,457,0.0000234
655,Dining Room,449,0.0000230
601,Transportation,442,0.0000226
768,Dessert & Sweets,432,0.0000221
2176,Shop Facades,426,0.0000218
778,North America,426,0.0000218
893,Clothing,422,0.0000216
2368,Other Toys & Games,417,0.0000213
2370,Clothing,415,0.0000212
774,Wine & Drinks,415,0.0000212
1921,Baby,415,0.0000212
599,Sports,414,0.0000212
2150,Tablets - iPad,413,0.0000211
1898,Life events and celebrations,411,0.0000210
1884,Fall,409,0.0000209
794,Teddy Bears,409,0.0000209
723,U.S.A.,406,0.0000208
1886,Winter,402,0.0000205
2290,Home Decor,401,0.0000205
73,Anniversary,395,0.0000202
760,Marine Mammals,386,0.0000197
2164,Menus,386,0.0000197
805,Holidays & Celebrations,386,0.0000197
594,Health,383,0.0000196
915,4th grade,379,0.0000194
2187,Beauty & Cosmetics Mockups,376,0.0000192
2141,Letterheads,376,0.0000192
916,5th grade,374,0.0000191
764,House & Home,370,0.0000189
2145,Calendars,364,0.0000186
2080,Halloween Templates,362,0.0000185
2191,Perfume Bottles,358,0.0000183
801,Mandala,351,0.0000179
2216,Miscellaneous Mockups,351,0.0000179
596,Industrial,347,0.0000177
2045,Marketing Templates,345,0.0000176
35,Word Art,344,0.0000176
882,Awareness & Inspiration,343,0.0000175
2236,Bottles & Shakers,334,0.0000171
2367,Puzzles,334,0.0000171
1864,Father's Day,332,0.0000170
858,Dance & Drama,332,0.0000170
2067,Educational Templates,324,0.0000166
2375,Hats,317,0.0000162
1918,Table decorations,317,0.0000162
707,UK Designs,316,0.0000162
2379,Scarves & Shawls,313,0.0000160
2086,Event & Wedding Templates,311,0.0000159
1909,Sports,309,0.0000158
2162,Magazines,305,0.0000156
782,Babies & Kids Quotes,303,0.0000155
1907,Other,302,0.0000154
1922,Countries,300,0.0000153
715,Vikings,297,0.0000152
1913,School,296,0.0000151
2087,Wedding Invitations,295,0.0000151
712,Pirates,294,0.0000150
1869,Saint Patrick's Day,293,0.0000150
1882,Objects,292,0.0000149
2091,Thank You Cards,292,0.0000149
2180,Food & Beverage Mockups,290,0.0000148
1880,Paper Sculptures,284,0.0000145
1915,Fantasy and fairy tales,280,0.0000143
1863,Thanksgiving,279,0.0000143
769,Farm & Country,279,0.0000143
856,Hobbies & Sports,275,0.0000141
869,Spring,275,0.0000141
2052,Greeting Cards,273,0.0000140
579,Military,269,0.0000138
845,Family Quotes,268,0.0000137
1870,Flowers,264,0.0000135
1865,Mother's Day,257,0.0000131
2085,Video Templates,256,0.0000131
787,Cowboy & Cowgirl,255,0.0000130
837,Family & Friends,254,0.0000130
798,Borders,254,0.0000130
1871,Floral compositions,254,0.0000130
2204,Social Media & Web Mockups,252,0.0000129
822,Wedding Flowers,251,0.0000128
721,Cars,250,0.0000128
716,Nautical,249,0.0000127
923,12th grade,246,0.0000126
800,Intricate Cuts,246,0.0000126
658,Games,245,0.0000125
1647,Paintings,244,0.0000125
766,Bedroom,244,0.0000125
2192,Spa & Wellness Products,243,0.0000124
61,Jewish,243,0.0000124
775,Around the world,242,0.0000124
2047,Presentation Templates,240,0.0000123
1143,Hand Embroidery Patterns,237,0.0000121
2073,Worksheets,236,0.0000121
889,Backgrounds,233,0.0000119
2291,Kitchen & Dining,233,0.0000119
1867,Independence Day,233,0.0000119
2078,Valentine's Day,232,0.0000119
2084,Other Holiday Templates,232,0.0000119
2205,Website Screens,229,0.0000117
592,Education,227,0.0000116
844,Friends,222,0.0000113
2200,Corporate Identity Sets,221,0.0000113
65,Doors Signs,220,0.0000112
2221,CDs & DVDs,219,0.0000112
846,Friends Quotes,217,0.0000111
2041,Other Social Media,217,0.0000111
2155,Monitors,216,0.0000110
2218,Keychains,214,0.0000109
78,Independence Day,213,0.0000109
1881,Animals,213,0.0000109
2211,Cars,210,0.0000107
891,Africa,210,0.0000107
843,Father,209,0.0000107
2056,Tickets,206,0.0000105
921,10th grade,206,0.0000105
671,Wellness,204,0.0000104
827,Wedding Designs,204,0.0000104
60,Tea,203,0.0000104
702,Porch Signs,201,0.0000103
640,Horse & Equestrian,200,0.0000102
1908,Lifestyle and hobbies,199,0.0000102
1894,Home décor,199,0.0000102
2142,Envelopes,197,0.0000101
924,Needle Arts,194,0.0000099
812,Graduation,193,0.0000099
639,Cowgirl,193,0.0000099
2048,Postcards,192,0.0000098
1888,Baby,192,0.0000098
2364,Summer,189,0.0000097
1660,Architecture,189,0.0000097
578,Stick Figures,188,0.0000096
2198,Outdoor Scenes,187,0.0000096
1904,Animals,180,0.0000092
874,Vacation,177,0.0000090
848,Fashion & Beauty,176,0.0000090
771,House & Home Quotes,174,0.0000089
47,Garage,172,0.0000088
1902,Countries and travel,169,0.0000086
2089,Event Programs,166,0.0000085
2219,Gift Cards & Vouchers,162,0.0000083
1279,Macrame Patterns,160,0.0000082
840,Grandparents,160,0.0000082
1912,Kids,156,0.0000080
2217,Badges & Pins,155,0.0000079
2097,Church Templates,155,0.0000079
1801,Autumn,154,0.0000079
2156,TVs,151,0.0000077
